Appareil suivi;Consommation annuelle  AN1;Consommation annuelle AN2;Type;Consommation sur les 2 années
Plaques cuisson;1002;99,7;99,4;1101.7
Congélateur;510;492,0;985,2;1002.0
Plaques cuisson;207;51,7;98,9;258.7
Lave linge;110;67,7;98,5;177.7
Plaques cuisson;103;74,8;98,4;177.8
Congélateur;203;109,1;98,2;312.1
Periph_multimedia;803;97,6;98,0;900.6
Loisirs;209;688,3;953,7;897.3
Eau chaude sanitaire;207;882,5;951,2;1089.5
Téléviseurs;510;105,9;95,2;615.9
Periph_multimedia;204;130,2;95,0;334.2
Lave linge;706;61,9;94,0;767.9
Lave linge;912;96,0;93,7;1008.0
Chaudières;309;93,6;92,7;402.6
Eau chaude sanitaire;101;889,3;915,4;990.3
Lave linge;605;107,9;91,6;712.9
Lave linge;607;159,5;90,9;766.5
Imprimantes;601;9,5;9,7;610.5
Repassage;806;13,4;9,5;819.4
Téléviseurs;507;10,4;9,0;517.4
Congélateur;907;886,3;898,2;1793.3
Eau chaude sanitaire;203;889,8;895,2;1092.8
Lave linge;406;131,2;89,2;537.2
Lave linge;301;92,0;88,5;393.0
Téléviseurs;607;145,7;88,3;752.7
Lave linge;302;94,1;88,1;396.1
Téléviseurs;405;437,6;88,0;842.6
Téléviseurs;310;64,5;87,4;374.5
Eau chaude sanitaire;902;803,7;863,5;1705.7
Téléviseurs;203;68,3;86,5;271.3
Plaques cuisson;908;65,6;86,1;973.6
Chaudières;505;83,1;85,0;588.1
Eau chaude sanitaire;310;931,5;846,5;1241.5
Plaques cuisson;807;64,8;84,2;871.8
Poêles;709;70,5;83,7;779.5
Chaudières;107;195,0;83,0;302.0
Téléviseurs;507;82,1;82,8;589.1
Plaques cuisson;402;57,6;82,1;459.6
Lave linge;505;82,4;81,7;587.4
Santé;309;40,4;81,1;349.4
Eau chaude sanitaire;912;748,8;800,7;1660.8
Téléviseurs;503;230,5;80,5;733.5
Congélateur;209;109,0;80,0;318.0
Nettoyage_sols;801;8,2;8,9;809.2
Mobilité_électrique;703;11,9;8,9;714.9
Lave linge;107;11,4;8,8;118.4
Imprimantes;803;17,8;8,6;820.8
Loisirs;406;759,8;794,9;1165.8
Clim_mob_rafraich_Déshum;310;6,0;79,9;316.0
Chaudières;911;903,8;784,8;1814.8
Hifi;206;19,5;78,6;225.5
Téléviseurs;903;85,4;78,0;988.4
Téléviseurs;608;62,0;78,0;670.0
Téléviseurs;403;142,8;77,4;545.8
Congélateur;210;701,1;766,0;911.1
Périph_Internet_réseaux;1005;76,3;76,2;1081.3
Cuisinières;907;132,6;76,2;1039.6
Eau chaude sanitaire;410;777,7;758,7;1187.7
Téléviseurs;202;182,4;75,9;384.4
Téléviseurs;210;132,7;75,4;342.7
Téléviseurs;204;36,7;75,3;240.7
Lave linge;404;41,9;75,1;445.9
Cuisinières;506;72,6;75,0;578.6
Eau chaude sanitaire;1002;750,9;748,9;1752.9
Téléviseurs;306;724,3;741,5;1030.3
Pompes;1010;135,5;72,8;1145.5
Lave linge;306;68,6;72,7;374.6
Lave linge;1007;178,8;72,4;1185.8
Hifi;602;67,6;72,0;669.6
Eau chaude sanitaire;201;790,1;702,9;991.1
Mobilité_électrique;806;6,8;7,8;812.8
Audio_TV;410;7,8;7,8;417.8
Cuisinières;405;38,3;7,7;443.3
Imprimantes;308;2,9;7,6;310.9
Audio_TV;608;7,9;7,5;615.9
Téléviseurs;107;0,0;7,5;107.0
Clim_mob_rafraich_Déshum;604;8,4;7,1;612.4
Chaudières;1005;63,7;69,7;1068.7
Lave linge;604;86,3;67,7;690.3
Lave linge;308;88,6;67,2;396.6
Hifi;306;67,7;67,2;373.7
Sèche linge;604;83,2;67,0;687.2
Lave linge;205;59,4;66,7;264.4
Lave linge;810;54,7;66,5;864.7
Eau chaude sanitaire;901;655,0;659,8;1556.0
Eau chaude sanitaire;905;700,4;645,2;1605.4
Lave linge;905;47,6;64,5;952.6
Lave linge;103;54,2;64,0;157.2
Congélateur;705;626,9;639,1;1331.9
Hifi;911;72,5;63,2;983.5
Hifi;507;58,4;62,7;565.4
Lave linge;901;53,1;62,4;954.1
Lave linge;702;56,8;62,2;758.8
Congélateur;810;644,3;616,2;1454.3
Cuisinières;503;193,7;61,8;696.7
Plaques cuisson;806;84,4;61,1;890.4
Plaques cuisson;607;531,6;601,2;1138.6
Lave linge;707;60,1;60,2;767.1
Audio_TV;302;6,4;6,9;308.4
Divers cuisine;205;3,9;6,7;208.9
Imprimantes;806;10,3;6,6;816.3
Hifi;705;11,0;6,2;716.0
Nettoyage_sols;1007;3,4;6,2;1010.4
Eau chaude sanitaire;1011;1990,6;599,8;3001.6
Lave linge;210;35,0;59,8;245.0
Chaudières;308;62,6;59,4;370.6
Lave linge;402;38,7;59,3;440.7
Eau chaude sanitaire;1007;762,3;571,3;1769.3
Hifi;311;29,8;57,4;340.8
Chaudières;210;364,5;567,2;574.5
Lave linge;903;50,2;55,9;953.2
Téléviseurs;705;63,7;55,9;768.7
Hifi;704;51,2;55,9;755.2
Lave linge;201;59,7;55,8;260.7
Lave linge;203;60,2;55,5;263.2
Lave linge;1002;61,2;55,4;1063.2
Plaques cuisson;301;45,3;55,1;346.3
Plaques cuisson;102;95,9;55,1;197.9
Sèche linge;607;782,6;549,8;1389.6
Lave linge;403;87,9;54,4;490.9
Lave linge;709;59,9;54,3;768.9
Plaques cuisson;911;489,9;534,3;1400.9
Congélateur;201;619,2;533,5;820.2
Chaudières;704;371,9;532,8;1075.9
Téléviseurs;502;391,7;531,0;893.7
Téléviseurs;806;62,0;53,9;868.0
Eau chaude sanitaire;405;532,4;529,9;937.4
Congélateur;1010;636,7;521,4;1646.7
Chaudières;110;49,6;52,9;159.6
Sécurité;1006;53,4;51,5;1059.4
Eau chaude sanitaire;907;696,7;501,5;1603.7
Imprimantes;902;49,3;50,7;951.3
Pompes;707;3,4;5,7;710.4
Nettoyage_sols;1010;7,9;5,6;1017.9
Téléviseurs;901;3,2;5,4;904.2
Nettoyage_sols;404;3,3;5,3;407.3
Téléviseurs;301;5,1;5,2;306.1
Hifi;201;5,3;5,1;206.3
Téléviseurs;404;365,0;488,9;769.0
Plaques cuisson;406;15,1;48,7;421.1
Chaudières;206;589,7;478,1;795.7
Hifi;205;48,8;47,1;253.8
Téléviseurs;604;27,6;46,4;631.6
Plaques cuisson;705;55,2;46,2;760.2
Congélateur;503;418,8;457,8;921.8
Sèche linge;1009;376,0;455,6;1385.0
Sèche linge;311;448,6;454,0;759.6
Lave linge;207;39,5;45,4;246.5
Congélateur;308;441,5;449,0;749.5
Téléviseurs;602;380,6;448,4;982.6
Lave linge;902;440,7;442,0;1342.7
Lave linge;909;55,7;44,9;964.7
Lave linge;101;39,8;44,6;140.8
Téléviseurs;1005;50,8;44,5;1055.8
Téléviseurs;1010;354,9;434,3;1364.9
Plaques cuisson;1010;398,5;431,0;1408.5
Téléviseurs;907;48,6;43,7;955.6
Lave linge;1001;58,8;43,4;1059.8
Eau chaude sanitaire;1001;754,4;423,7;1755.4
Periph_multimedia;911;42,9;42,9;953.9
Téléviseurs;703;33,2;42,9;736.2
Périph_Internet_réseaux;803;44,4;42,8;847.4
Téléviseurs;1006;34,8;42,7;1040.8
Lave linge;908;37,4;42,6;945.4
Congélateur;709;194,4;42,2;903.4
Sécurité;1007;40,2;42,1;1047.2
Sèche linge;1004;405,5;411,8;1409.5
Téléviseurs;804;412,0;409,8;1216.0
Congélateur;406;201,3;409,0;607.3
Piscines;911;2734,2;4086,3;3645.2
Chaudières;608;318,6;403,0;926.6
Sécurité;410;39,9;40,9;449.9
Lave linge;1005;38,1;40,3;1043.1
Repassage;705;45,0;40,0;750.0
Téléviseurs;406;0,0;40,0;406.0
Hifi;506;4,5;4,9;510.5
Téléviseurs;510;3,5;4,7;513.5
Hifi;1002;4,1;4,6;1006.1
Hifi;1005;5,1;4,5;1010.1
Imprimantes;407;51,1;4,1;458.1
Hifi;709;3,6;4,0;712.6
Téléviseurs;905;388,1;398,5;1293.1
Téléviseurs;1004;47,2;39,9;1051.2
Sécurité;410;224,2;39,8;634.2
Lave linge;407;120,6;39,4;527.6
Nettoyage_sols;805;51,4;39,3;856.4
Lave linge;504;36,9;39,1;540.9
Loisirs;803;36,8;38,3;839.8
Eau chaude sanitaire;810;2885,9;3766,3;3695.9
Congélateur;407;388,0;372,2;795.0
Loisirs;105;52,7;37,6;157.7
Poêles;407;38,1;37,1;445.1
Lave linge;1003;40,8;37,1;1043.8
